meter_id;timestamp;power_kw
1;2026-01-01 00:00:00.000;116,59
1;2026-01-01 01:00:00.000;108,72
1;2026-01-01 02:00:00.000;83,93
1;2026-01-01 03:00:00.000;83,56
1;2026-01-01 04:00:00.000;105,93
1;2026-01-01 05:00:00.000;112,66
1;2026-01-01 06:00:00.000;317,65
1;2026-01-01 07:00:00.000;287,32
1;2026-01-01 08:00:00.000;304,71
1;2026-01-01 09:00:00.000;362,71
1;2026-01-01 10:00:00.000;350,58
1;2026-01-01 11:00:00.000;333,96
1;2026-01-01 12:00:00.000;331,43
1;2026-01-01 13:00:00.000;336,69
1;2026-01-01 14:00:00.000;368,14
1;2026-01-01 15:00:00.000;347,44
1;2026-01-01 16:00:00.000;349,74
1;2026-01-01 17:00:00.000;354,94
1;2026-01-01 18:00:00.000;210,68
1;2026-01-01 19:00:00.000;200,07
1;2026-01-01 20:00:00.000;180,59
1;2026-01-01 21:00:00.000;211,75
1;2026-01-01 22:00:00.000;212,92
1;2026-01-01 23:00:00.000;166,37
1;2026-01-02 00:00:00.000;117,39
1;2026-01-02 01:00:00.000;99,91
1;2026-01-02 02:00:00.000;101,01
1;2026-01-02 03:00:00.000;85,98
1;2026-01-02 04:00:00.000;85,8
1;2026-01-02 05:00:00.000;111,62
1;2026-01-02 06:00:00.000;316,84
1;2026-01-02 07:00:00.000;291,48
1;2026-01-02 08:00:00.000;316
1;2026-01-02 09:00:00.000;358,15
1;2026-01-02 10:00:00.000;330,89
1;2026-01-02 11:00:00.000;349,18
1;2026-01-02 12:00:00.000;364,68
1;2026-01-02 13:00:00.000;367,39
1;2026-01-02 14:00:00.000;362,58
1;2026-01-02 15:00:00.000;339,75
1;2026-01-02 16:00:00.000;339,86
1;2026-01-02 17:00:00.000;343,03
1;2026-01-02 18:00:00.000;182,19
1;2026-01-02 19:00:00.000;199,65
1;2026-01-02 20:00:00.000;188,81
1;2026-01-02 21:00:00.000;198,15
1;2026-01-02 22:00:00.000;207,72
1;2026-01-02 23:00:00.000;148,3
1;2026-01-03 00:00:00.000;52,31
1;2026-01-03 01:00:00.000;76,2
1;2026-01-03 02:00:00.000;55,15
1;2026-01-03 03:00:00.000;51,63
1;2026-01-03 04:00:00.000;62,75
1;2026-01-03 05:00:00.000;73,45
1;2026-01-03 06:00:00.000;176,1
1;2026-01-03 07:00:00.000;196,29
1;2026-01-03 08:00:00.000;185,21
1;2026-01-03 09:00:00.000;226,38
1;2026-01-03 10:00:00.000;219,65
1;2026-01-03 11:00:00.000;242,78
1;2026-01-03 12:00:00.000;217,13
1;2026-01-03 13:00:00.000;219,03
1;2026-01-03 14:00:00.000;211,85
1;2026-01-03 15:00:00.000;224,83
1;2026-01-03 16:00:00.000;225,67
1;2026-01-03 17:00:00.000;220,32
1;2026-01-03 18:00:00.000;116,04
1;2026-01-03 19:00:00.000;132,43
1;2026-01-03 20:00:00.000;125,4
1;2026-01-03 21:00:00.000;111,66
1;2026-01-03 22:00:00.000;148,48
1;2026-01-03 23:00:00.000;99,53
1;2026-01-04 00:00:00.000;53,04
1;2026-01-04 01:00:00.000;77,68
1;2026-01-04 02:00:00.000;84,06
1;2026-01-04 03:00:00.000;79,44
1;2026-01-04 04:00:00.000;70,87
1;2026-01-04 05:00:00.000;76,33
1;2026-01-04 06:00:00.000;199,72
1;2026-01-04 07:00:00.000;204,81
1;2026-01-04 08:00:00.000;191,77
1;2026-01-04 09:00:00.000;226,84
1;2026-01-04 10:00:00.000;235,4
1;2026-01-04 11:00:00.000;231,83
1;2026-01-04 12:00:00.000;230,62
1;2026-01-04 13:00:00.000;207,81
1;2026-01-04 14:00:00.000;214,24
1;2026-01-04 15:00:00.000;208,88
1;2026-01-04 16:00:00.000;212,75
1;2026-01-04 17:00:00.000;242,31
1;2026-01-04 18:00:00.000;135,14
1;2026-01-04 19:00:00.000;132,71
1;2026-01-04 20:00:00.000;145,92
1;2026-01-04 21:00:00.000;145,7
1;2026-01-04 22:00:00.000;118,76
1;2026-01-04 23:00:00.000;91,1
1;2026-01-05 00:00:00.000;103,92
1;2026-01-05 01:00:00.000;107,73
1;2026-01-05 02:00:00.000;87,32
1;2026-01-05 03:00:00.000;93,55
1;2026-01-05 04:00:00.000;118,22
1;2026-01-05 05:00:00.000;90
1;2026-01-05 06:00:00.000;287,77
1;2026-01-05 07:00:00.000;288,46
1;2026-01-05 08:00:00.000;304,93
1;2026-01-05 09:00:00.000;362,45
1;2026-01-05 10:00:00.000;340,34
1;2026-01-05 11:00:00.000;357,51
1;2026-01-05 12:00:00.000;331,38
1;2026-01-05 13:00:00.000;333,99
1;2026-01-05 14:00:00.000;356,54
1;2026-01-05 15:00:00.000;338,18
1;2026-01-05 16:00:00.000;339,79
1;2026-01-05 17:00:00.000;355,92
1;2026-01-05 18:00:00.000;205,23
1;2026-01-05 19:00:00.000;189,7
1;2026-01-05 20:00:00.000;208,23
1;2026-01-05 21:00:00.000;205,26
1;2026-01-05 22:00:00.000;186,2
1;2026-01-05 23:00:00.000;151,25
1;2026-01-06 00:00:00.000;117,59
1;2026-01-06 01:00:00.000;110,2
1;2026-01-06 02:00:00.000;97,74
1;2026-01-06 03:00:00.000;88,43
1;2026-01-06 04:00:00.000;81,86
1;2026-01-06 05:00:00.000;89,43
1;2026-01-06 06:00:00.000;319,36
1;2026-01-06 07:00:00.000;302,55
1;2026-01-06 08:00:00.000;280,64
1;2026-01-06 09:00:00.000;366,43
1;2026-01-06 10:00:00.000;336,02
1;2026-01-06 11:00:00.000;357,06
1;2026-01-06 12:00:00.000;349,52
1;2026-01-06 13:00:00.000;340,46
1;2026-01-06 14:00:00.000;348,24
1;2026-01-06 15:00:00.000;350,32
1;2026-01-06 16:00:00.000;356,35
1;2026-01-06 17:00:00.000;353,38
1;2026-01-06 18:00:00.000;198,44
1;2026-01-06 19:00:00.000;194,23
1;2026-01-06 20:00:00.000;206,19
1;2026-01-06 21:00:00.000;210,66
1;2026-01-06 22:00:00.000;208,94
1;2026-01-06 23:00:00.000;130,64
1;2026-01-07 00:00:00.000;113,5
1;2026-01-07 01:00:00.000;95,64
1;2026-01-07 02:00:00.000;106,04
1;2026-01-07 03:00:00.000;92,63
1;2026-01-07 04:00:00.000;88,65
1;2026-01-07 05:00:00.000;80,1
1;2026-01-07 06:00:00.000;291,04
1;2026-01-07 07:00:00.000;286,41
1;2026-01-07 08:00:00.000;284,9
1;2026-01-07 09:00:00.000;357,14
1;2026-01-07 10:00:00.000;336,41
1;2026-01-07 11:00:00.000;335,18
1;2026-01-07 12:00:00.000;349,81
1;2026-01-07 13:00:00.000;348,8
1;2026-01-07 14:00:00.000;352,73
1;2026-01-07 15:00:00.000;344,32
1;2026-01-07 16:00:00.000;354,64
1;2026-01-07 17:00:00.000;336,81
1;2026-01-07 18:00:00.000;192,8
1;2026-01-07 19:00:00.000;186,93
1;2026-01-07 20:00:00.000;210,85
1;2026-01-07 21:00:00.000;182,31
1;2026-01-07 22:00:00.000;203,65
1;2026-01-07 23:00:00.000;143,49
1;2026-01-08 00:00:00.000;98,9
1;2026-01-08 01:00:00.000;102,24
1;2026-01-08 02:00:00.000;82,5
1;2026-01-08 03:00:00.000;107,82
1;2026-01-08 04:00:00.000;113,45
1;2026-01-08 05:00:00.000;103,73
1;2026-01-08 06:00:00.000;304,69
